ts,open,high,low,close,volume,oi
2026-07-15 09:15:00+05:30,64.5,75.4,61.5,75.0,1110200,4142645
2026-07-15 09:16:00+05:30,75.15,80.1,75.0,77.35,896285,4423510
2026-07-15 09:17:00+05:30,77.05,85.35,76.5,84.95,778570,4423510
2026-07-15 09:18:00+05:30,84.95,87.65,84.2,86.75,988455,4449835
2026-07-15 09:19:00+05:30,86.75,91.0,85.25,90.9,732680,4551365
2026-07-15 09:20:00+05:30,90.8,97.85,90.6,94.7,1161550,4551365
2026-07-15 09:21:00+05:30,94.65,98.35,93.2,97.75,710450,4680260
2026-07-15 09:22:00+05:30,97.75,99.55,95.55,98.95,665860,4680260
2026-07-15 09:23:00+05:30,98.75,103.4,97.3,102.7,909870,4739930
2026-07-15 09:24:00+05:30,102.45,107.2,102.45,106.0,772200,4684290
2026-07-15 09:25:00+05:30,105.9,111.7,105.25,111.15,912275,4684290
2026-07-15 09:26:00+05:30,111.75,114.0,109.35,112.3,813800,4659265
2026-07-15 09:27:00+05:30,112.05,113.8,110.4,112.9,457210,4659265
2026-07-15 09:28:00+05:30,112.95,116.9,109.2,109.55,878150,4687280
2026-07-15 09:29:00+05:30,109.6,110.5,106.0,107.8,665405,4721600
2026-07-15 09:30:00+05:30,108.1,115.45,107.95,114.05,821600,4670510
2026-07-15 09:31:00+05:30,113.7,116.6,111.15,112.25,500500,4739995
2026-07-15 09:32:00+05:30,112.3,113.45,109.25,110.65,363545,4774575
2026-07-15 09:33:00+05:30,110.7,114.0,109.85,113.05,400140,4786015
2026-07-15 09:34:00+05:30,112.8,114.05,108.5,111.15,421070,4755010
2026-07-15 09:35:00+05:30,111.1,112.0,107.7,109.65,417430,4690595
2026-07-15 09:36:00+05:30,109.6,112.9,108.7,112.2,332605,4697355
2026-07-15 09:37:00+05:30,112.2,112.65,109.4,110.6,175435,4682925
2026-07-15 09:38:00+05:30,110.3,111.5,109.35,109.85,183170,4703140
2026-07-15 09:39:00+05:30,109.9,110.5,106.0,107.65,324415,4742920
2026-07-15 09:40:00+05:30,107.6,109.35,106.4,107.75,259545,4696965
